2019-04-12 11:24:12.604 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:307] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.aiuiot.house.HousesApplicationTests], using SpringBootContextLoader
2019-04-12 11:24:12.628 [main] INFO  [o.s.test.context.support.AbstractContextLoader:264] - Could not detect default resource locations for test class [com.aiuiot.house.HousesApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 11:24:12.630 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils:82] - Could not detect default configuration classes for test class [com.aiuiot.house.HousesApplicationTests]: HousesApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 11:24:12.884 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:206] - Found @SpringBootConfiguration com.aiuiot.house.HousesApplication for test class com.aiuiot.house.HousesApplicationTests
2019-04-12 11:24:12.897 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:248] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-12 11:24:12.969 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2931522b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7674b62c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@19e7a160, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@662706a7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@45a4b042, org.springframework.test.context.transaction.TransactionalTestExecutionListener@16b2bb0c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@327af41b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6cb6decd, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@c7045b9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@f99f5e0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6aa61224, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@30bce90b]
2019-04-12 11:24:14.017 [main] INFO  [com.aiuiot.house.HousesApplicationTests:48] - Starting HousesApplicationTests on aiuiot.local with PID 2760 (started by aiuiot in /Volumes/SD/Workspaces/workspace-sts/houses)
2019-04-12 11:24:14.019 [main] INFO  [com.aiuiot.house.HousesApplicationTests:593] - No active profile set, falling back to default profiles: default
2019-04-12 11:24:14.119 [main] INFO  [o.s.w.context.support.GenericWebApplicationContext:583] - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6bb75258: startup date [Fri Apr 12 11:24:14 CST 2019]; root of context hierarchy
2019-04-12 11:24:14.594 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version:30] - HV000001: Hibernate Validator 5.3.6.Final
2019-04-12 11:24:18.357 [main] INFO  [com.alibaba.druid.pool.DruidDataSource:847] - {dataSource-1} inited
2019-04-12 11:24:20.612 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerAdapter:557] - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@6bb75258: startup date [Fri Apr 12 11:24:14 CST 2019]; root of context hierarchy
2019-04-12 11:24:20.797 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:544] - Mapped "{[/index]}" onto public java.lang.String com.aiuiot.house.controller.HelloController.index()
2019-04-12 11:24:20.801 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:544] - Mapped "{[/hello]}" onto public java.lang.String com.aiuiot.house.controller.HelloController.hello(org.springframework.ui.ModelMap)
2019-04-12 11:24:20.804 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:544] - Mapped "{[/user]}" onto public java.util.List<com.aiuiot.house.common.model.User> com.aiuiot.house.controller.UserController.getUsers()
2019-04-12 11:24:20.810 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:544] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-04-12 11:24:20.812 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:544] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-04-12 11:24:20.868 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:364] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-04-12 11:24:20.869 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:364] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-04-12 11:24:20.952 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:364] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-04-12 11:24:21.396 [main] INFO  [o.s.w.servlet.view.freemarker.FreeMarkerConfigurer:127] - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2019-04-12 11:24:21.862 [main] INFO  [com.aiuiot.house.HousesApplicationTests:57] - Started HousesApplicationTests in 8.668 seconds (JVM running for 11.092)
2019-04-12 11:24:22.290 [Thread-1] INFO  [o.s.w.context.support.GenericWebApplicationContext:985] - Closing org.springframework.web.context.support.GenericWebApplicationContext@6bb75258: startup date [Fri Apr 12 11:24:14 CST 2019]; root of context hierarchy
2019-04-12 11:24:22.302 [Thread-1] INFO  [com.alibaba.druid.pool.DruidDataSource:1608] - {dataSource-1} closed
